Year,UNIT_MEASURE,Sex,AGE,Value
2021,%,_T,15 - 89,
2021,%,_T,15 - 24,
2021,%,_T,25 - 49,
2021,%,_T,50 - 64,
2021,%,_T,15 - 64,
2021,%,_T,20 - 64,
2021,%,_T,25 - 34,
2021,%,_T,15 - 74,
2021,%,M,15 - 89,
2021,%,M,15 - 24,
2021,%,M,25 - 49,
2021,%,M,50 - 64,
2021,%,M,15 - 64,
2021,%,M,20 - 64,
2021,%,M,25 - 34,
2021,%,M,15 - 74,
2021,%,F,15 - 89,
2021,%,F,15 - 24,
2021,%,F,25 - 49,
2021,%,F,50 - 64,
2021,%,F,15 - 64,
2021,%,F,20 - 64,
2021,%,F,25 - 34,
2021,%,F,15 - 74,
2021,%,_T,15 - 89,
2021,%,_T,15 - 24,
2021,%,_T,25 - 49,
2021,%,_T,50 - 64,
2021,%,_T,15 - 64,
2021,%,_T,20 - 64,
2021,%,_T,25 - 34,
2021,%,_T,15 - 74,
2021,%,M,15 - 89,
2021,%,M,15 - 24,
2021,%,M,25 - 49,
2021,%,M,50 - 64,
2021,%,M,15 - 64,
2021,%,M,20 - 64,
2021,%,M,25 - 34,
2021,%,M,15 - 74,
2021,%,F,15 - 89,
2021,%,F,15 - 24,
2021,%,F,25 - 49,
2021,%,F,50 - 64,
2021,%,F,15 - 64,
2021,%,F,20 - 64,
2021,%,F,25 - 34,
2021,%,F,15 - 74,
2021,%,_T,15 - 89,
2021,%,_T,15 - 24,
2021,%,_T,25 - 49,
2021,%,_T,50 - 64,
2021,%,_T,15 - 64,
2021,%,_T,20 - 64,
2021,%,_T,25 - 34,
2021,%,_T,15 - 74,
2021,%,M,15 - 89,
2021,%,M,15 - 24,
2021,%,M,25 - 49,
2021,%,M,50 - 64,
2021,%,M,15 - 64,
2021,%,M,20 - 64,
2021,%,M,25 - 34,
2021,%,M,15 - 74,
2021,%,F,15 - 89,
2021,%,F,15 - 24,
2021,%,F,25 - 49,
2021,%,F,50 - 64,
2021,%,F,15 - 64,
2021,%,F,20 - 64,
2021,%,F,25 - 34,
2021,%,F,15 - 74,
2021,%,_T,15 - 89,
2021,%,_T,15 - 24,
2021,%,_T,25 - 49,
2021,%,_T,50 - 64,
2021,%,_T,15 - 64,
2021,%,_T,20 - 64,
2021,%,_T,25 - 34,
2021,%,_T,15 - 74,
2021,%,M,15 - 89,
2021,%,M,15 - 24,
2021,%,M,25 - 49,
2021,%,M,50 - 64,
2021,%,M,15 - 64,
2021,%,M,20 - 64,
2021,%,M,25 - 34,
2021,%,M,15 - 74,
2021,%,F,15 - 89,
2021,%,F,15 - 24,
2021,%,F,25 - 49,
2021,%,F,50 - 64,
2021,%,F,15 - 64,
2021,%,F,20 - 64,
2021,%,F,25 - 34,
2021,%,F,15 - 74,
2022,%,_T,15 - 89,
2022,%,_T,15 - 24,
2022,%,_T,25 - 49,
2022,%,_T,50 - 64,
2022,%,_T,15 - 64,
2022,%,_T,20 - 64,
2022,%,_T,25 - 34,
2022,%,_T,15 - 74,
2022,%,M,15 - 89,
2022,%,M,15 - 24,
2022,%,M,25 - 49,
2022,%,M,50 - 64,
2022,%,M,15 - 64,
2022,%,M,20 - 64,
2022,%,M,25 - 34,
2022,%,M,15 - 74,
2022,%,F,15 - 89,
2022,%,F,15 - 24,
2022,%,F,25 - 49,
2022,%,F,50 - 64,
2022,%,F,15 - 64,
2022,%,F,20 - 64,
2022,%,F,25 - 34,
2022,%,F,15 - 74,
2022,%,_T,15 - 89,
2022,%,_T,15 - 24,
2022,%,_T,25 - 49,
2022,%,_T,50 - 64,
2022,%,_T,15 - 64,
2022,%,_T,20 - 64,
2022,%,_T,25 - 34,
2022,%,_T,15 - 74,
2022,%,M,15 - 89,
2022,%,M,15 - 24,
2022,%,M,25 - 49,
2022,%,M,50 - 64,
2022,%,M,15 - 64,
2022,%,M,20 - 64,
2022,%,M,25 - 34,
2022,%,M,15 - 74,
2022,%,F,15 - 89,
2022,%,F,15 - 24,
2022,%,F,25 - 49,
2022,%,F,50 - 64,
2022,%,F,15 - 64,
2022,%,F,20 - 64,
2022,%,F,25 - 34,
2022,%,F,15 - 74,
2022,%,_T,15 - 89,
2022,%,_T,15 - 24,
2022,%,_T,25 - 49,
2022,%,_T,50 - 64,
2022,%,_T,15 - 64,
2022,%,_T,20 - 64,
2022,%,_T,25 - 34,
2022,%,_T,15 - 74,
2022,%,M,15 - 89,
2022,%,M,15 - 24,
2022,%,M,25 - 49,
2022,%,M,50 - 64,
2022,%,M,15 - 64,
2022,%,M,20 - 64,
2022,%,M,25 - 34,
2022,%,M,15 - 74,
2022,%,F,15 - 89,
2022,%,F,15 - 24,
2022,%,F,25 - 49,
2022,%,F,50 - 64,
2022,%,F,15 - 64,
2022,%,F,20 - 64,
2022,%,F,25 - 34,
2022,%,F,15 - 74,
2022,%,_T,15 - 89,
2022,%,_T,15 - 24,
2022,%,_T,25 - 49,
2022,%,_T,50 - 64,
2022,%,_T,15 - 64,
2022,%,_T,20 - 64,
2022,%,_T,25 - 34,
2022,%,_T,15 - 74,
2022,%,M,15 - 89,
2022,%,M,15 - 24,
2022,%,M,25 - 49,
2022,%,M,50 - 64,
2022,%,M,15 - 64,
2022,%,M,20 - 64,
2022,%,M,25 - 34,
2022,%,M,15 - 74,
2022,%,F,15 - 89,
2022,%,F,15 - 24,
2022,%,F,25 - 49,
2022,%,F,50 - 64,
2022,%,F,15 - 64,
2022,%,F,20 - 64,
2022,%,F,25 - 34,
2022,%,F,15 - 74,
