Year,Value,UNIT_MEASURE
1997,4.9,NO_PER_1000_LIVE_BIRTHS
1998,4.6,NO_PER_1000_LIVE_BIRTHS
1999,5.5,NO_PER_1000_LIVE_BIRTHS
2000,4.2,NO_PER_1000_LIVE_BIRTHS
2001,4.8,NO_PER_1000_LIVE_BIRTHS
2002,4.2,NO_PER_1000_LIVE_BIRTHS
2003,4.7,NO_PER_1000_LIVE_BIRTHS
2004,5.5,NO_PER_1000_LIVE_BIRTHS
2005,5.0,NO_PER_1000_LIVE_BIRTHS
2006,4.9,NO_PER_1000_LIVE_BIRTHS
2007,6.0,NO_PER_1000_LIVE_BIRTHS
2008,5.6,NO_PER_1000_LIVE_BIRTHS
2009,3.9,NO_PER_1000_LIVE_BIRTHS
2010,3.8,NO_PER_1000_LIVE_BIRTHS
2011,3.6,NO_PER_1000_LIVE_BIRTHS
2012,3.2,NO_PER_1000_LIVE_BIRTHS
2013,3.0,NO_PER_1000_LIVE_BIRTHS
2014,2.7,NO_PER_1000_LIVE_BIRTHS
2015,5.0,NO_PER_1000_LIVE_BIRTHS
2016,4.8,NO_PER_1000_LIVE_BIRTHS
2017,4.2,NO_PER_1000_LIVE_BIRTHS
2018,3.6,NO_PER_1000_LIVE_BIRTHS
2019,3.8,NO_PER_1000_LIVE_BIRTHS
