Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
bosnian-podrinje_canton,Bosnian-Podrinje Canton,Bosansko-podrinjski kanton,bosnian-podrinje_canton,Županija Bosansko-podrinjska,2,2
canton_10,Canton 10,Kanton 10,canton_10,Županija 10,2,2
central_bosnia_canton,Central Bosnia Canton,Srednjobosanski kanton,central_bosnia_canton,Županija Srednjobosanska,2,2
federation_of_bih,Federation of Bosnia and Herzegovina,Federacija Bosne i Hercegovine,federation_of_bih,Federacija Bosne i Hercegovine,2,2
herzegovina-neretva_canton,Herzegovina-Neretva Canton,Hercegovačko-neretvanski kanton,herzegovina-neretva_canton,Županija Hercegovačko-neretvanska,2,2
posavina_canton,Posavina Canton,Posavski kanton,posavina_canton,Županija Posavska,2,2
sarajevo_canton,Sarajevo Canton,Kanton Sarajevo,sarajevo_canton,Sarajevska županija,2,2
tuzla_canton,Tuzla Canton,Tuzlanski kanton,tuzla_canton,Županija Tuzlanska,2,2
una-sana_canton,Una-Sana Canton,Unsko-sanski kanton,una-sana_canton,Županija Unsko-sanska,2,2
west_herzegovina_canton,West Herzegovina Canton,Zapadno-hercegovački kanton,west_herzegovina_canton,Županija Zapadno-hercegovačka,2,2
zenica-doboj_canton,Zenica-Doboj Canton,Zeničko-dobojski kanton,zenica-doboj_canton,Županija Zeničko-dobojska,2,2
