Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
bosnian-podrinje_canton,bosnian-podrinje_canton,bosnian-podrinje_canton,bosnian-podrinje_canton,bosnian-podrinje_canton,9,1
canton_10,canton_10,canton_10,canton_10,canton_10,9,1
central_bosnia_canton,central_bosnia_canton,central_bosnia_canton,central_bosnia_canton,central_bosnia_canton,9,1
federation_of_bih,federation_of_bih,federation_of_bih,federation_of_bih,federation_of_bih,9,1
herzegovina-neretva_canton,herzegovina-neretva_canton,herzegovina-neretva_canton,herzegovina-neretva_canton,herzegovina-neretva_canton,9,1
posavina_canton,posavina_canton,posavina_canton,posavina_canton,posavina_canton,9,1
sarajevo_canton,sarajevo_canton,sarajevo_canton,sarajevo_canton,sarajevo_canton,9,1
tuzla_canton,tuzla_canton,tuzla_canton,tuzla_canton,tuzla_canton,9,1
una-sana_canton,una-sana_canton,una-sana_canton,una-sana_canton,una-sana_canton,9,1
west_herzegovina_canton,west_herzegovina_canton,west_herzegovina_canton,west_herzegovina_canton,west_herzegovina_canton,9,1
zenica-doboj_canton,zenica-doboj_canton,zenica-doboj_canton,zenica-doboj_canton,zenica-doboj_canton,9,1
