Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
banovici,Banovici,Banovići,Бановићи,Banovići,24,1
berkovici,Berkovici,Berkovići,Берковићи,Berkovići,60,1
bihac,Bihac,Bihać,Бихаћ,Bihać,24,1
bileca,Bileca,Bileća,Билећа,Bileća,60,1
bosanska_krupa,Bosanska Krupa,Bosanska Krupa,Босанска Крупа,Bosanska Krupa,24,1
bosanski_petrovac,Bosanski Petrovac,Bosanski Petrovac,Босански Петровац,Bosanski Petrovac,24,1
bosansko_grahovo,Bosansko Grahovo,Bosansko Grahovo,Босанско Грахово,Bosansko Grahovo,24,1
bosnian-podrinje_canton,Bosnian-Podrinje Canton,Bosansko-podrinjski kanton,bosnian-podrinje_canton,Županija Bosansko-podrinjska,134,25
bratunac,Bratunac,Bratunac,Братунац,Bratunac,60,1
breza,Breza,Breza,Бреза,Breza,24,1
brod,Brod,Brod,Брод,Brod,60,1
bugojno,Bugojno,Bugojno,Бугојно,Bugojno,24,1
busovaca,Busovaca,Busovača,Бусовача,Busovača,24,1
buzim,Buzim,Bužim,Бужим,Bužim,24,1
cajnice,Cajnice,Čajniče,Чајниче,Čajniče,60,1
canton_10,Canton 10,Kanton 10,canton_10,Županija 10,51,11
capljina,Capljina,Čapljina,Чапљина,Čapljina,24,1
cazin,Cazin,Cazin,Цазин,Cazin,24,1
celic,Celic,Čelić,Челић,Čelić,24,1
celinac,Celinac,Čelinac,Челинац,Čelinac,60,1
centar_sarajevo,centar_sarajevo,Sarajevo-Centar,centar_sarajevo,centar_sarajevo,24,1
central_bosnia_canton,Central Bosnia Canton,Srednjobosanski kanton,central_bosnia_canton,Županija Srednjobosanska,134,25
citluk,Citluk,Čitluk,Читлук,Čitluk,24,1
doboj-istok,doboj-istok,Doboj-Istok,doboj-istok,doboj-istok,24,1
doboj-jug,doboj-jug,Doboj-Jug,doboj-jug,doboj-jug,24,1
dobretici,Dobretici,Dobretići,Добретићи,Dobretići,24,1
domaljevac-samac,domaljevac-samac,Domaljevac-Šamac,domaljevac-samac,domaljevac-samac,24,1
donji_vakuf,Donji Vakuf,Donji Vakuf,Доњи Вакуф,Donji Vakuf,24,1
donji_zabar,Donji Zabar,Donji Žabar,Доњи Жабар,Donji Žabar,60,1
drvar,Drvar,Drvar,Дрвар,Drvar,24,1
federation_of_bih,Federation of Bosnia and Herzegovina,Federacija Bosne i Hercegovine,federation_of_bih,Federacija Bosne i Hercegovine,134,25
foca-fbih,foca-fbih,Foča-FBiH,foca-fbih,foca-fbih,24,1
foca,foca,foca,foca,foca,60,1
fojnica,Fojnica,Fojnica,Фојница,Fojnica,24,1
gacko,Gacko,Gacko,Гацко,Gacko,60,1
glamoc,Glamoc,Glamoč,Гламоч,Glamoč,24,1
gorazde,Gorazde,Goražde,Горажде,Goražde,24,1
gornji_vakuf-uskoplje,gornji_vakuf-uskoplje,Gornji Vakuf-Uskoplje,gornji_vakuf-uskoplje,gornji_vakuf-uskoplje,24,1
gracanica,Gracanica,Gračanica,Грачаница,Gračanica,24,1
grad_banja_luka,grad_banja_luka,grad_banja_luka,grad_banja_luka,grad_banja_luka,60,1
grad_bijeljina,grad_bijeljina,grad_bijeljina,grad_bijeljina,grad_bijeljina,60,1
grad_derventa,grad_derventa,grad_derventa,grad_derventa,grad_derventa,60,1
grad_doboj,grad_doboj,grad_doboj,grad_doboj,grad_doboj,60,1
grad_gradiska,grad_gradiska,grad_gradiska,grad_gradiska,grad_gradiska,60,1
grad_istocno_sarajevo,grad_istocno_sarajevo,grad_istocno_sarajevo,grad_istocno_sarajevo,grad_istocno_sarajevo,60,1
grad_prijedor,grad_prijedor,grad_prijedor,grad_prijedor,grad_prijedor,60,1
