Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
0-14,0-14,0-14,0-14,0-14,6,1
0-15,0-15,0-15,0-15,0-15,1,1
0-4,0-4,0-4,0-4,0-4,246,3
0,0,0,0,0,6,2
1,1,1,1,1,6,2
 10-14, 10-14, 10-14, 10-14, 10-14,246,3
10,10,10,10,10,6,2
100-104,100-104,100-104,100-104,100-104,3,1
100,100,100,100,100,3,1
101,101,101,101,101,3,1
102,102,102,102,102,3,1
103,103,103,103,103,3,1
104,104,104,104,104,3,1
105-109,105-109,105-109,105-109,105-109,3,1
105,105,105,105,105,3,1
106,106,106,106,106,3,1
107,107,107,107,107,3,1
108,108,108,108,108,3,1
109,109,109,109,109,3,1
11,11,11,11,11,6,2
110-114,110-114,110-114,110-114,110-114,3,1
110,110,110,110,110,3,1
111,111,111,111,111,3,1
112,112,112,112,112,3,1
113,113,113,113,113,3,1
114,114,114,114,114,3,1
115-119,115-119,115-119,115-119,115-119,3,1
115,115,115,115,115,3,1
116,116,116,116,116,3,1
117,117,117,117,117,3,1
118,118,118,118,118,3,1
119,119,119,119,119,3,1
12,12,12,12,12,6,2
120+,120+,120+,120+,120+,6,2
13 - 14,13 - 14,13 - 14,13 - 14,13 - 14,1,1
13,13,13,13,13,6,2
14,14,14,14,14,6,2
15-19,15-19,15-19,15-19,15-19,253,5
15 - 19,15 - 19,15 - 19,15 - 19,15 - 19,1,1
15 - 24,15 - 24,15 - 24,15 - 24,15 - 24,9,3
15 - 64,15 - 64,15 - 64,15 - 64,15 - 64,9,3
15+,15+,15+,15+,15+,10,4
15,15,15,15,15,6,2
16,16,16,16,16,6,2
17,17,17,17,17,6,2
18-24,18-24,18-24,18-24,18-24,1,1
18,18,18,18,18,6,2
19,19,19,19,19,6,2
2,2,2,2,2,6,2
20-24,20-24,20-24,20-24,20-24,247,4
20-29,20-29,20-29,20-29,20-29,6,1
20,20,20,20,20,6,2
21,21,21,21,21,6,2
22,22,22,22,22,6,2
23,23,23,23,23,6,2
24,24,24,24,24,6,2
25-29,25-29,25-29,25-29,25-29,247,4
25-34,25-34,25-34,25-34,25-34,1,1
25 - 49,25 - 49,25 - 49,25 - 49,25 - 49,9,3
25,25,25,25,25,6,2
26,26,26,26,26,6,2
27,27,27,27,27,6,2
28,28,28,28,28,6,2
29,29,29,29,29,6,2
3,3,3,3,3,6,2
30-34,30-34,30-34,30-34,30-34,247,4
30-49,30-49,30-49,30-49,30-49,6,1
30,30,30,30,30,6,2
31,31,31,31,31,6,2
32,32,32,32,32,6,2
33,33,33,33,33,6,2
34,34,34,34,34,6,2
35-39,35-39,35-39,35-39,35-39,247,4
35-44,35-44,35-44,35-44,35-44,1,1
35,35,35,35,35,6,2
36,36,36,36,36,6,2
37,37,37,37,37,6,2
38,38,38,38,38,6,2
39,39,39,39,39,6,2
4,4,4,4,4,6,2
40-44,40-44,40-44,40-44,40-44,247,4
40,40,40,40,40,6,2
41,41,41,41,41,6,2
42,42,42,42,42,6,2
43,43,43,43,43,6,2
44,44,44,44,44,6,2
45-49,45-49,45-49,45-49,45-49,247,4
45-54,45-54,45-54,45-54,45-54,1,1
45,45,45,45,45,6,2
46,46,46,46,46,6,2
47,47,47,47,47,6,2
48,48,48,48,48,6,2
49,49,49,49,49,6,2
 5-9, 5-9, 5-9, 5-9, 5-9,246,3
5,5,5,5,5,6,2
50-54,50-54,50-54,50-54,50-54,246,3
50-59,50-59,50-59,50-59,50-59,6,1
50 - 64,50 - 64,50 - 64,50 - 64,50 - 64,9,3
50,50,50,50,50,6,2
50+,50+,50+,50+,50+,1,1
51,51,51,51,51,6,2
52,52,52,52,52,6,2
53,53,53,53,53,6,2
54,54,54,54,54,6,2
55-59,55-59,55-59,55-59,55-59,246,3
55-64,55-64,55-64,55-64,55-64,1,1
55,55,55,55,55,6,2
56,56,56,56,56,6,2
57,57,57,57,57,6,2
58,58,58,58,58,6,2
59,59,59,59,59,6,2
6,6,6,6,6,6,2
60-64,60-64,60-64,60-64,60-64,252,4
60,60,60,60,60,6,2
61,61,61,61,61,6,2
62,62,62,62,62,6,2
63,63,63,63,63,6,2
64,64,64,64,64,6,2
65-69,65-69,65-69,65-69,65-69,246,3
65+,65+,65+,65+,65+,7,2
65,65,65,65,65,6,2
66,66,66,66,66,6,2
67,67,67,67,67,6,2
68,68,68,68,68,6,2
69,69,69,69,69,6,2
7,7,7,7,7,6,2
70-74,70-74,70-74,70-74,70-74,246,3
70,70,70,70,70,6,2
