Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Albanian,Albanian,Albanski,Албански,Albanski,3,1
Bosniak,Bosniak,Bošnjački,Бошњачки,Bošnjački,3,1
Bosnian ,Bosnian ,Bosnian ,Bosnian ,Bosnian ,3,1
Bosnian_Croatian,Bosnian_Croatian,Bosanski-hrvatski,Босански-хрватски,Bosanski-hrvatski,3,1
Bosnian_Croatian_Serbian,Bosnian_Croatian_Serbian,Bosanski-hrvatski-srpski,Босански-хрватски-српски,Bosanski_hrvatski_srpski,3,1
Bosnian_Herzegovinian,Bosnian_Herzegovinian,Bosansko-hercegovački,Босанско-херцеговачки,Bosansko-hercegovački,3,1
Bosnian_Serbian_Croatian,Bosnian_Serbian_Croatian,Bosanski-srpski-hrvatski,Босански-српски-хрватски,Bosanski-srpski-hrvatski,3,1
Croatian,Croatian,Hrvatski,Хрватски,Hrvatski,3,1
Croato_Serbian,Croato_Serbian,Hrvatsko-srpski,Хрватско-српски,Hrvatsko-srpski,3,1
German,German,Njemački,Њемачки,Njemački,3,1
Other,Other,Other,Other,Other,3,1
Romani,Romani,Romski,Ромски,Romski,3,1
Serbian,Serbian,Srpski,Српски,Srpski,3,1
Serbo_Croatian ,Serbo_Croatian ,Serbo_Croatian ,Serbo_Croatian ,Serbo_Croatian ,2,1
Serbo_Croatian,Serbo_Croatian,Srpsko-hrvatski,Српско-хрватски,Srpsko-hrvatski,1,1
Turkish,Turkish,Turski,Турски,Turski,3,1
Ukranian,Ukranian,Ukrajinski,Украјински,Ukrajinski,3,1
Unknown,Unknown,Unknown,Unknown,Unknown,3,1
