Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
banovici,Banovici,Banovići,Бановићи,Banovići,57,1
bihac,Bihac,Bihać,Бихаћ,Bihać,57,1
bosanska_krupa,Bosanska Krupa,Bosanska Krupa,Босанска Крупа,Bosanska Krupa,57,1
bosanski_petrovac,Bosanski Petrovac,Bosanski Petrovac,Босански Петровац,Bosanski Petrovac,57,1
bosansko_grahovo,Bosansko Grahovo,Bosansko Grahovo,Босанско Грахово,Bosansko Grahovo,57,1
breza,Breza,Breza,Бреза,Breza,57,1
bugojno,Bugojno,Bugojno,Бугојно,Bugojno,57,1
busovaca,Busovaca,Busovača,Бусовача,Busovača,57,1
buzim,Buzim,Bužim,Бужим,Bužim,57,1
capljina,Capljina,Čapljina,Чапљина,Čapljina,57,1
cazin,Cazin,Cazin,Цазин,Cazin,57,1
celic,Celic,Čelić,Челић,Čelić,57,1
centar_sarajevo,centar_sarajevo,Sarajevo-Centar,centar_sarajevo,centar_sarajevo,57,1
citluk,Citluk,Čitluk,Читлук,Čitluk,57,1
doboj-istok,doboj-istok,Doboj-Istok,doboj-istok,doboj-istok,57,1
doboj-jug,doboj-jug,Doboj-Jug,doboj-jug,doboj-jug,57,1
dobretici,Dobretici,Dobretići,Добретићи,Dobretići,57,1
domaljevac-samac,domaljevac-samac,Domaljevac-Šamac,domaljevac-samac,domaljevac-samac,57,1
donji_vakuf,Donji Vakuf,Donji Vakuf,Доњи Вакуф,Donji Vakuf,57,1
drvar,Drvar,Drvar,Дрвар,Drvar,57,1
foca-fbih,foca-fbih,Foča-FBiH,foca-fbih,foca-fbih,57,1
fojnica,Fojnica,Fojnica,Фојница,Fojnica,57,1
glamoc,Glamoc,Glamoč,Гламоч,Glamoč,57,1
gorazde,Gorazde,Goražde,Горажде,Goražde,57,1
gornji_vakuf-uskoplje,gornji_vakuf-uskoplje,Gornji Vakuf-Uskoplje,gornji_vakuf-uskoplje,gornji_vakuf-uskoplje,57,1
gracanica,Gracanica,Gračanica,Грачаница,Gračanica,57,1
gradacac,Gradacac,Gradačac,Градачац,Gradačac,57,1
grude,Grude,Grude,Груде,Grude,57,1
hadzici,hadzici,Sarajevo-Hadžići,hadzici,hadzici,57,1
ilidza,ilidza,Sarajevo-Ilidža,ilidza,ilidza,57,1
ilijas,ilijas,Sarajevo-Ilijaš,ilijas,ilijas,57,1
jablanica,Jablanica,Jablanica,Јабланица,Jablanica,57,1
jajce,Jajce,Jajce,Јајце,Jajce,57,1
kakanj,Kakanj,Kakanj,Какањ,Kakanj,57,1
kalesija,Kalesija,Kalesija,Калесија,Kalesija,57,1
kiseljak,Kiseljak,Kiseljak,Кисељак,Kiseljak,57,1
kladanj,Kladanj,Kladanj,Кладањ,Kladanj,57,1
kljuc,Ključ,Ključ,Кључ,Ključ,57,1
konjic,Konjic,Konjic,Коњиц,Konjic,57,1
kresevo,Kresevo,Kreševo,Крешево,Kreševo,57,1
krupa_na_uni,Krupa Na Uni,Krupa Na Uni,Крупа на Уни,Krupa Na Uni,57,1
