Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
0-4,0-4,0-4,0-4,0-4,30,2
10-14,10-14,10-14,10-14,10-14,8,1
100-104,100-104,100-104,100-104,100-104,30,2
105-109,105-109,105-109,105-109,105-109,30,2
110-114,110-114,110-114,110-114,110-114,30,2
115-119,115-119,115-119,115-119,115-119,22,1
115-120,115-120,115-120,115-120,115-120,8,1
120+,120+,120+,120+,120+,22,1
15-19,15-19,15-19,15-19,15-19,30,2
20-24,20-24,20-24,20-24,20-24,30,2
25-29,25-29,25-29,25-29,25-29,30,2
30-34,30-34,30-34,30-34,30-34,30,2
35-39,35-39,35-39,35-39,35-39,30,2
40-44,40-44,40-44,40-44,40-44,30,2
41913,41913,41913,41913,41913,22,1
44809,44809,44809,44809,44809,21,1
45-49,45-49,45-49,45-49,45-49,30,2
5-9,5-9,5-9,5-9,5-9,9,2
50-54,50-54,50-54,50-54,50-54,30,2
55-59,55-59,55-59,55-59,55-59,30,2
60-64,60-64,60-64,60-64,60-64,30,2
65-69,65-69,65-69,65-69,65-69,30,2
70-74,70-74,70-74,70-74,70-74,30,2
75-79,75-79,75-79,75-79,75-79,30,2
80-84,80-84,80-84,80-84,80-84,30,2
85-89,85-89,85-89,85-89,85-89,30,2
90-94,90-94,90-94,90-94,90-94,30,2
95-99,95-99,95-99,95-99,95-99,30,2
