Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Adventist,Adventist,Adventist,Адвентист,Adventist,3,1
Agnostic,Agnostic,Agnostik,Агностик,Agnostik,3,1
Atheist,Atheist,Ateist,Атеист,Ateist,3,1
Bosniak,Bosniak,Bošnjački,Бошњачки,Bošnjački,3,1
Bosnian,Bosnian,Bosanski,Босански,Bosanski,3,1
Catholic,Catholic,Katolička,Католичка,Katolička,3,1
Christian,Christian,Kršćanska,Кршћанска,Kršćanska,3,1
Croat,Croat,Hrvat,Хрват,Hrvat,3,1
Greek_Catholic,Greek Catholic,Grkokatolička,Гркокатоличка,Grkokatolička,3,1
Islam,Islam,Islam,Ислам,Islam,3,1
jehovah_s_witnesses,Jehovah's Witnesses,Jehovini svjedoci,Јеховини свједоци,Jehovini svjedoci,3,1
Muslim,Muslim,Muslimanska,Муслиманска,Muslimanska,3,1
Orthodox,Orthodox,Pravoslavna,Православна,Pravoslavna,3,1
Others,Others,Drugo,Друго,Drugo,3,1
Protestant,Protestant,Protestantska,Протестантска,Protestantska,3,1
Roman_Catholic,Roman Catholic,Rimokatolička,Римо-католичка,Rimokatolička,3,1
Romani,Romani,Romski,Ромски,Romski,3,1
Serbian,Serbian,Srpski,Српски,Srpski,3,1
Undeclared,Undaclared,Neopredijeljen,Неопредијељен,Neopredijeljen,3,1
Unknown,Unknown,Unknown,Unknown,Unknown,3,1
