Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
"agriculture,_forestry,_fisheries_and_veterinary_medicine","Agriculture, forestry, fisheries and veterinary medicine","Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo","Пољопривреда, шумарство, рибарство и ветеринарство","Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",40,5
arts_and_humanities,Arts and humanities,Umjetnost i humanističke nauke,Умјетност и хуманистичке науке,Umjetnost i humanističke znanosti,40,5
"business,_administration_and_law","Business, administration and law","Poslovanje, administracija i pravo","Пословање, администрација и право","Poslovanje, administracija i pravo",40,5
education,Education,Obrazovanje,Oбразовање,Obrazovanje,40,5
"engineering,_production_and_construction","Engineering, production and construction","Inženjerstvo, proizvodnja i građevinarstvo","Инжeњерство, производња и грађевинарство","Inženjerstvo, proizvodnja i građevinarstvo",40,5
health_and_social_protection,Health and social protection,Zdravstvo i socijalna zaštita,Здравство и социјална заштита,Zdravstvo i socijalna skrb,40,5
information_and_communication_technologies,Information and communication technologies,Informacijske i komunikacijske tehnologije,Информационе и комуникационе технологије,Informacijske i komunikacijske tehnologije,40,5
"natural_sciences,_mathematics_and_statistics","Natural sciences, mathematics and statistics","Prirodne nauke, matematika i statistika","Природне науке, математика и статистика","Prirodne znanosti, matematika i statistika",40,5
services,Services,Usluge,Услуге,Usluge,40,5
"social_sciences,_journalism_and_information","Social sciences, journalism and information","Društvene nauke, novinarstvo i informiranje","Друштвене науке, новинарство и информисање","Društvene znanosti, novinarstvo i informiranje",40,5
