Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
agriculture_forestry_fisheries_and_veterinary_medicine,agriculture_forestry_fisheries_and_veterinary_medicine,agriculture_forestry_fisheries_and_veterinary_medicine,agriculture_forestry_fisheries_and_veterinary_medicine,agriculture_forestry_fisheries_and_veterinary_medicine,15,5
arts_and_humanities,arts_and_humanities,Umjetnost i humanističke nauke,arts_and_humanities,arts_and_humanities,15,5
business_administration_and_the_law_of_everything,business_administration_and_the_law_of_everything,business_administration_and_the_law_of_everything,business_administration_and_the_law_of_everything,business_administration_and_the_law_of_everything,15,5
education,education,education,education,education,15,5
engineering_manufacturing_and_construction,engineering_manufacturing_and_construction,engineering_manufacturing_and_construction,engineering_manufacturing_and_construction,engineering_manufacturing_and_construction,15,5
health_and_social_protection,health_and_social_protection,Zdravstvo i socijalna zaštita,health_and_social_protection,health_and_social_protection,15,5
information and communication technologies,information and communication technologies,Informacione i komunikacione tehnologije,information and communication technologies,information and communication technologies,15,5
natural_sciences_mathematics_and_statistics_of_all,natural_sciences_mathematics_and_statistics_of_all,natural_sciences_mathematics_and_statistics_of_all,natural_sciences_mathematics_and_statistics_of_all,natural_sciences_mathematics_and_statistics_of_all,15,5
services,services,services,services,services,15,5
social_sciences_journalism_and_information,social_sciences_journalism_and_information,social_sciences_journalism_and_information,social_sciences_journalism_and_information,social_sciences_journalism_and_information,15,5
total,Total,Ukupno,Укупно,Ukupno,15,5
unknown,Unknown,Nepoznato,Непознато,Nepoznato,15,5
