Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
%,%,%,%,%,383,12
2013,2013,2013,2013,2013,36,1
2020,2020,2020,2020,2020,50,1
2025,2025,2025,2025,2025,50,1
2030,2030,2030,2030,2030,50,1
2035,2035,2035,2035,2035,50,1
2040,2040,2040,2040,2040,50,1
2045,2045,2045,2045,2045,50,1
2050,2050,2050,2050,2050,50,1
2055,2055,2055,2055,2055,50,1
2060,2060,2060,2060,2060,50,1
2065,2065,2065,2065,2065,50,1
2070,2070,2070,2070,2070,50,1
_%,% of total,% od ukupno,% од укупно,% od ukupno,38,8
AGE,Age,Starosna dob,Старосна доб,Starosna dob,5,3
BAM,BAM,BAM,БАМ,BAM,2,2
crude_death_rate_1000,Number per 1000 population,Broj na 1.000 stanovnika,Број на 1.000 становника,Broj na 1.000 stanovnika,1,1
EUR,EUR,EUR,ЕУР,EUR,2,2
NO_PER_1000_LIVE_BIRTHS,Number per 1000 live births,Broj na 1000 živorođenih,Број на 1.000 живорођених,Broj na 1000 živorođenih,2,2
NUMBER,Number,Broj,Број,Broj,13298,66
number_birth_rate,Birth Rate,Stopa nataliteta,Стопа наталитета,Stopa nataliteta,1,1
permil,‰,‰,‰,‰,18,9
USD,USD,USD,УСД,USD,2,2
