Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
0,0,0,0,0,1,1
1016,1016,1016,1016,1016,1,1
1018,1018,1018,1018,1018,1,1
1038,1038,1038,1038,1038,1,1
1044,1044,1044,1044,1044,1,1
1062,1062,1062,1062,1062,1,1
1067,1067,1067,1067,1067,1,1
1075,1075,1075,1075,1075,1,1
1091,1091,1091,1091,1091,2,1
10,10,10,10,10,1,1
1104,1104,1104,1104,1104,2,1
1134,1134,1134,1134,1134,1,1
122,122,122,122,122,1,1
12288,12288,12288,12288,12288,1,1
1245,1245,1245,1245,1245,1,1
1250,1250,1250,1250,1250,1,1
1255,1255,1255,1255,1255,1,1
1279,1279,1279,1279,1279,1,1
1285,1285,1285,1285,1285,1,1
13053,13053,13053,13053,13053,1,1
1330,1330,1330,1330,1330,1,1
1336,1336,1336,1336,1336,1,1
13394,13394,13394,13394,13394,1,1
1352,1352,1352,1352,1352,1,1
1363,1363,1363,1363,1363,1,1
13,13,13,13,13,1,1
1452,1452,1452,1452,1452,1,1
1466,1466,1466,1466,1466,1,1
158,158,158,158,158,1,1
1629,1629,1629,1629,1629,1,1
16,16,16,16,16,1,1
174,174,174,174,174,1,1
1829,1829,1829,1829,1829,1,1
1860,1860,1860,1860,1860,1,1
1896,1896,1896,1896,1896,1,1
1919,1919,1919,1919,1919,1,1
193,193,193,193,193,1,1
1950,1950,1950,1950,1950,1,1
1999,1999,1999,1999,1999,1,1
2247,2247,2247,2247,2247,1,1
235,235,235,235,235,1,1
245,245,245,245,245,1,1
247,247,247,247,247,1,1
251,251,251,251,251,1,1
268,268,268,268,268,1,1
269,269,269,269,269,1,1
272,272,272,272,272,1,1
286,286,286,286,286,1,1
299,299,299,299,299,1,1
314,314,314,314,314,1,1
3174,3174,3174,3174,3174,1,1
327,327,327,327,327,1,1
3286,3286,3286,3286,3286,1,1
332,332,332,332,332,1,1
339,339,339,339,339,1,1
356,356,356,356,356,1,1
361,361,361,361,361,2,1
363,363,363,363,363,1,1
373,373,373,373,373,1,1
381,381,381,381,381,1,1
384,384,384,384,384,1,1
397,397,397,397,397,1,1
39,39,39,39,39,1,1
430,430,430,430,430,1,1
434,434,434,434,434,1,1
467,467,467,467,467,1,1
468,468,468,468,468,1,1
46,46,46,46,46,1,1
481,481,481,481,481,1,1
485,485,485,485,485,1,1
486,486,486,486,486,1,1
4977,4977,4977,4977,4977,1,1
500,500,500,500,500,1,1
507,507,507,507,507,1,1
514,514,514,514,514,1,1
5302,5302,5302,5302,5302,1,1
5571,5571,5571,5571,5571,1,1
585,585,585,585,585,1,1
604,604,604,604,604,1,1
610,610,610,610,610,1,1
612,612,612,612,612,1,1
616,616,616,616,616,1,1
625,625,625,625,625,1,1
651,651,651,651,651,1,1
662,662,662,662,662,1,1
674,674,674,674,674,1,1
678,678,678,678,678,1,1
6,6,6,6,6,1,1
731,731,731,731,731,1,1
7311,7311,7311,7311,7311,1,1
738,738,738,738,738,1,1
740,740,740,740,740,1,1
747,747,747,747,747,1,1
749,749,749,749,749,1,1
772,772,772,772,772,1,1
7751,7751,7751,7751,7751,1,1
777,777,777,777,777,1,1
778,778,778,778,778,1,1
7823,7823,7823,7823,7823,1,1
792,792,792,792,792,1,1
85,85,85,85,85,1,1
887,887,887,887,887,1,1
899,899,899,899,899,1,1
990,990,990,990,990,1,1
